lat,lon
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
41.0,70.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
41.0,69.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
39.0,83.0
42.0,71.0
42.0,70.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,70.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
41.0,70.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
41.0,70.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,70.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
43.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
41.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
41.0,71.0
42.0,71.0
42.0,71.0
42.0,70.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
41.0,70.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
41.0,70.0
42.0,71.0
42.0,70.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
41.0,70.0
42.0,71.0
42.0,71.0
42.0,71.0
41.0,70.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
41.0,70.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
41.0,70.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
41.0,70.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,70.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
41.0,70.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
41.0,70.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,83.0
42.0,71.0
42.0,71.0
41.0,70.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
41.0,70.0
42.0,71.0
42.0,71.0
41.0,70.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
41.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
41.0,70.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,70.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
,2125.0
42.0,70.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
31.0,2184.0
42.0,71.0
42.0,70.0
42.0,71.0
42.0,71.0
41.0,70.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
41.0,70.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
41.0,71.0
42.0,71.0
42.0,71.0
42.0,70.0
42.0,70.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
41.0,70.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,70.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,70.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,70.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
41.0,70.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
43.0,71.0
42.0,71.0
42.0,71.0
42.0,70.0
43.0,71.0
42.0,71.0
42.0,71.0
42.0,71.0
42.0,70.0
42.0,71.0
42.0,71.0
